id,course_name,degree_id,college_dunia_link,target_study_link,careers_360_link,status,sequence,is_deleted,created_by,created_on,updated_on,updated_by
1,B.Com(Bachelor of commerce) / BCom,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
2,B.A. / BA,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
3,B.Arch (Bachelor of Architecture),3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
4,B.Des (Bachelor of Design),3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
5,B.Ed / BEd,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
6,B.Pharma / BPharma,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
7,B.Sc(Bachelor of Science) / BSc,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
8,B.Tourism,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
9,BBA / BBM / BBS / BMS,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
10,BCA / BCM,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
11,BDS,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
12,BE / B.Tech / BTech,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
13,BFA,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
14,BHM,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
15,BJMC,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
16,BVSc,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
17,Diploma,4,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2025-12-27 12:23:20,1584
18,LLB,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
19,MBBS,3,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
21,Masters of Computer Applications (MCA),2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
30,CA,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
31,CS,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
32,ICWA,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
33,LLM,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
34,M.A (Master of Arts - MA),2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-07-29 11:45:10,1
35,M.Arch,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
36,M.Com / MCom,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
37,M.D.,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
38,M.Des,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
39,M.E(Master of Engineering)/M.Tech(Masters in Tech) / ME / MTech,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
40,M.Ed / MEd,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
41,M.Ekistics,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
42,M.Pharma / MPharma,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
43,M.Phil,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
44,M.Sc(Master of Science) / MSc,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
45,M.Tourism,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
46,MBA / PGDM / MMS,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
48,MDS,2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
49,MFA (Masters of Fine Arts),2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
50,MHM (Masters in Hotel Management),2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
51,MJMC (Masters in Journalism & Mass Communication),2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
52,MVSc (Masters in Veternary & Science),2,"","","",Active,"0",No,"0",2023-05-15 06:22:21,2024-01-03 15:30:18,"0"
