id,specilization_name,college_dunia_link,target_study_link,careers_360_link,course_id,status,is_deleted,created_on,created_by,updated_by,updated_on
3,Bengali,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
4,Business Economics,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
5,Economics,"","","",447,Active,No,2026-02-09 15:07:12,1,1,2026-02-09 15:07:12
6,English,"","","",430,Active,No,2026-02-09 15:07:07,1,1,2026-02-09 15:07:07
7,Fine Arts,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
8,Geography,"","","",430,Active,No,2026-02-09 15:07:07,1,1,2026-02-09 15:07:07
9,Hindi,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
10,History,"","","",430,Active,No,2026-02-09 15:07:07,1,1,2026-02-09 15:07:07
11,Home Science,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
12,Human Resource Management,"","","",432,Active,No,2026-02-09 15:07:08,1,1,2026-02-09 15:07:08
13,Material Management,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
14,Music,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
15,Office Administration and Secreterial Practice,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
16,Political Science,"","","",430,Active,No,2026-02-09 15:07:07,1,1,2026-02-09 15:07:07
17,Psycology,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
18,Sociology,"","","",430,Active,No,2026-02-09 15:07:07,1,1,2026-02-09 15:07:07
19,Film,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
20,Journalism,"","","",430,Active,No,2026-02-09 15:07:07,1,1,2026-02-09 15:07:07
21,Maths,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
22,Pass Course,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
23,PR / Advertising,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
24,Statistics,"","","",447,Active,No,2026-02-09 15:07:11,1,1,2026-02-09 15:07:11
25,Vocational Course,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
26,Arts & Humanities,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
27,Communication,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
28,Sanskrit,"","","",2,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
30,Architecture,"","","",3,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
32,Communication Design,"","","",38,Active,No,2026-02-06 10:42:37,1,1,2026-02-09 18:33:10
36,Education,"","","",419,Active,No,2026-02-09 15:07:04,1,1,2026-02-09 15:07:04
40,Anthropology,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
43,Biology,"","","",447,Active,No,2026-02-09 15:07:11,1,1,2026-02-09 15:07:11
45,Botony,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
48,Electronics,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
49,General,"","","",40,Active,No,2026-02-09 15:07:12,1,1,2026-04-02 17:26:02
50,Home Science,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
53,Maths / Mathematics,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
54,Micro Biology,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
55,Nutrition,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
56,Physics,"","","",447,Active,No,2026-02-09 15:07:11,1,1,2026-02-09 15:07:11
57,Statistics,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
59,Zoology,"","","",447,Active,No,2026-02-09 15:07:11,1,1,2026-02-09 15:07:11
62,Environmental science,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
63,Food Technology,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
64,Geology,"","","",447,Active,No,2026-02-09 15:07:12,1,1,2026-02-09 15:07:12
65,Nursing,"","","",473,Active,No,2026-02-06 18:04:48,1,1,2026-02-06 18:04:48
67,Bio-informatics,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
68,Economics,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
70,Geography,"","","",7,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
77,Tourism,"","","",8,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
79,Computer Aided Management / Computer Applications,"","","",9,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
80,Management,"","","",9,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
83,Marketing,"","","",432,Active,No,2026-02-09 15:07:08,1,1,2026-02-09 15:07:08
85,Computers,"","","",10,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
87,Dentistry,"","","",11,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
91,Bio-Chemistry / Bio-Technology,"","","",12,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
99,Environmental Science,"","","",12,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
101,Manufacturing Process and Automation Engineering,"","","",12,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
104,Mineral Engineering,"","","",12,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
107,Plastic Technology,"","","",12,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
108,Polymer Science and Chemical Technology,"","","",12,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
110,Agriculture,"","","",447,Active,No,2026-02-09 15:07:12,1,1,2026-02-09 15:07:12
111,Aviation,"","","",12,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
115,Marine,"","","",12,Active,No,2023-05-15 06:29:28,0,0,2024-01-03 15:31:09
