id,name,zone_id,is_deleted,status,country_id,created_on,created_by,updated_on,updated_by
1,Andaman and Nicobar Islands,4,No,Active,101,25-01-2023 03:12,,14-08-2023 11:41,1584
2,Andhra Pradesh,4,No,Active,101,25-01-2023 03:12,,14-08-2023 11:40,1584
3,Arunachal Pradesh,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:39,1584
4,Assam,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:38,1584
5,Bihar,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:37,1584
6,Chandigarh,3,No,Active,101,25-01-2023 03:12,,14-08-2023 11:42,1584
7,Chhattisgarh,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:42,1584
8,Dadra and Nagar Haveli,2,No,Active,101,25-01-2023 03:12,,14-08-2023 11:37,1584
9,Daman and Diu,2,No,Active,101,25-01-2023 03:12,,14-08-2023 11:36,1584
10,Delhi,0,No,Active,101,25-01-2023 03:12,,,
11,Goa,2,No,Active,101,25-01-2023 03:12,,14-08-2023 11:35,1584
12,Gujarat,2,No,Active,101,25-01-2023 03:12,,14-08-2023 11:34,1584
13,Haryana,3,No,Active,101,25-01-2023 03:12,,14-08-2023 11:34,1584
14,Himachal Pradesh,3,No,Active,101,25-01-2023 03:12,,14-08-2023 11:34,1584
15,Jammu and Kashmir,3,No,Active,101,25-01-2023 03:12,,14-08-2023 11:34,1584
16,Jharkhand,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:33,1584
17,Karnataka,4,No,Active,101,25-01-2023 03:12,,14-08-2023 11:33,1584
18,Kenmore,0,No,Active,101,25-01-2023 03:12,,,
19,Kerala,4,No,Active,101,25-01-2023 03:12,,14-08-2023 11:32,1584
20,Lakshadweep,4,No,Active,101,25-01-2023 03:12,,14-08-2023 11:32,1584
21,Madhya Pradesh,2,No,Active,101,25-01-2023 03:12,,14-08-2023 11:32,1584
22,Maharashtra,2,No,Active,101,25-01-2023 03:12,,10-08-2023 18:15,2
23,Manipur,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:30,1584
24,Meghalaya,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:29,1584
25,Mizoram,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:29,1584
26,Nagaland,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:29,1584
27,Narora,0,No,Active,101,25-01-2023 03:12,,,
28,Natwar,0,No,Active,101,25-01-2023 03:12,,,
29,Odisha,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:28,1584
30,Paschim Medinipur,0,No,Active,101,25-01-2023 03:12,,,
31,Pondicherry,4,No,Active,101,25-01-2023 03:12,,14-08-2023 11:27,1584
32,Punjab,3,No,Active,101,25-01-2023 03:12,,14-08-2023 11:26,1584
33,Rajasthan,2,No,Active,101,25-01-2023 03:12,,14-08-2023 11:20,1584
34,Sikkim,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:19,1584
35,Tamil Nadu,4,No,Active,101,25-01-2023 03:12,,14-08-2023 11:18,1584
36,Telangana,4,No,Active,101,25-01-2023 03:12,,14-08-2023 11:18,1584
37,Tripura,1,No,Active,101,25-01-2023 03:12,,14-08-2023 11:15,1584
38,Uttar Pradesh,3,No,Active,101,25-01-2023 03:12,,14-08-2023 11:11,1584
39,Uttarakhand,3,No,Active,101,25-01-2023 03:12,,14-08-2023 11:10,1584
